recipe_id,ingredient_name,quantity,unit,tier,substitute_for
R001,chicken breast,180,g,required,
R001,lemon,0.5,unit,required,
R001,broccoli,150,g,required,
R001,garlic,2,unit,staple,
R001,olive oil,15,ml,staple,
R001,salt,2,g,staple,
R001,black pepper,1,g,staple,
R002,salmon,170,g,required,
R002,zucchini,1,unit,required,
R002,lemon,0.5,unit,required,
R002,olive oil,15,ml,staple,
R002,salt,2,g,staple,
R002,black pepper,1,g,staple,
R002,canned tuna,120,g,optional,salmon
R003,ground turkey,150,g,required,
R003,pasta,90,g,required,
R003,canned tomatoes,200,g,required,
R003,onion,0.5,unit,staple,
R003,garlic,2,unit,staple,
R003,parmesan,20,g,optional,
R003,olive oil,10,ml,staple,
R003,salt,2,g,staple,
R004,eggs,2,unit,required,
R004,spinach,60,g,required,
R004,butter,10,g,staple,
R004,milk,30,ml,optional,
R004,salt,1,g,staple,
R004,black pepper,1,g,staple,
R005,chickpeas,200,g,required,
R005,canned tomatoes,200,g,required,
R005,spinach,50,g,optional,
R005,onion,0.5,unit,staple,
R005,garlic,2,unit,staple,
R005,olive oil,15,ml,staple,
R005,salt,2,g,staple,
R006,tofu,180,g,required,
R006,broccoli,120,g,required,
R006,bell pepper,0.5,unit,optional,
R006,rice,75,g,required,
R006,soy sauce,20,ml,staple,
R006,garlic,2,unit,staple,
R006,ginger,10,g,optional,
R006,sesame oil,5,ml,staple,
R007,canned tuna,120,g,required,
R007,mixed greens,80,g,required,
R007,lemon,0.5,unit,required,
R007,olive oil,15,ml,staple,
R007,salt,1,g,staple,
R008,chicken breast,180,g,required,
R008,rice,75,g,required,
R008,broccoli,120,g,required,
R008,soy sauce,15,ml,staple,
R008,garlic,1,unit,staple,
R008,sesame oil,5,ml,staple,
R009,pasta,90,g,required,
R009,zucchini,1,unit,required,
R009,lemon,0.5,unit,required,
R009,garlic,2,unit,staple,
R009,parmesan,20,g,optional,
R009,olive oil,15,ml,staple,
R009,salt,2,g,staple,
R010,ground turkey,150,g,required,
R010,cabbage,180,g,required,
R010,onion,0.5,unit,staple,
R010,garlic,2,unit,staple,
R010,ginger,8,g,optional,
R010,soy sauce,20,ml,staple,
R011,chicken breast,180,g,required,
R011,greek yogurt,80,g,required,
R011,lemon,0.5,unit,required,
R011,mixed greens,70,g,required,
R011,garlic,2,unit,staple,
R011,salt,2,g,staple,
R011,black pepper,1,g,staple,
R012,pasta,90,g,required,
R012,canned tomatoes,220,g,required,
R012,garlic,3,unit,staple,
R012,olive oil,20,ml,staple,
R012,parmesan,15,g,optional,
R012,salt,2,g,staple,
R012,black pepper,1,g,staple,
